matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
Bai/dw256A/dw256A.mtx,ok,Bai,2480,464,0.16703,8.889,0.002913,0.0046,0.3667,0.039292,0.060453,0.35
Bai/bfwa782/bfwa782.mtx,ok,Bai,7514,1753,0.13395,27.095,0.002521,0.003662,0.3116,0.035596,0.059233,0.399
Bai/bfwb398/bfwb398.mtx,ok,Bai,2910,798,0.11396,7.293,0.001891,0.003023,0.3745,0.035741,0.073821,0.5158
Bai/bfwb62/bfwb62.mtx,ok,Bai,342,79,0.13528,7.293,0.002724,0.003439,0.2079,0.03919,0.080718,0.5145
Bai/bfwb782/bfwb782.mtx,ok,Bai,5982,1704,0.10971,7.03,0.001685,0.003255,0.4822,0.035427,0.07436,0.5236
AG-Monien/se/se_G_09.mtx,pattern,AG-Monien,6140,2040,0.09406,0.0,,,,,,
AG-Monien/se/se_G_10.mtx,pattern,AG-Monien,12282,4088,0.09389,0.0,,,,,,
AG-Monien/se/se_G_11.mtx,pattern,AG-Monien,24572,8184,0.09383,0.0,,,,,,
AG-Monien/se/se_G_12.mtx,pattern,AG-Monien,49146,16376,0.09378,0.0,,,,,,
AG-Monien/airfoil1/airfoil1.mtx,pattern,AG-Monien,24578,12397,0.06196,0.0,,,,,,
AG-Monien/airfoil1_dual/airfoil1_dual.mtx,pattern,AG-Monien,23626,15261,0.04838,0.0,,,,,,
AG-Monien/big_dual/big_dual.mtx,pattern,AG-Monien,89858,62605,0.04485,0.0,,,,,,
AG-Monien/biplane-9/biplane-9.mtx,pattern,AG-Monien,84076,26099,0.10067,0.0,,,,,,
Bai/tols340/tols340.mtx,ok,Bai,2196,218,0.31479,34.706,0.001962,0.004819,0.5927,0.037897,0.019896,-0.9047
Bai/tols4000/tols4000.mtx,ok,Bai,8784,1865,0.14718,41.562,0.001551,0.000725,-1.1402,0.005559,0.01207,0.5394
Bai/tols90/tols90.mtx,ok,Bai,1746,105,0.51964,31.363,0.010424,0.017851,0.416,0.093949,0.096299,0.0244
Bai/tub100/tub100.mtx,ok,Bai,396,49,0.25255,73.385,0.002642,0.002887,0.0849,0.038686,0.04369,0.1145
Bai/rdb1250l/rdb1250l.mtx,ok,Bai,7300,1513,0.15078,3.245,0.004901,0.00412,-0.1897,0.108885,0.090167,-0.2076
Bai/rdb200/rdb200.mtx,ok,Bai,1120,180,0.19444,3.331,0.006061,0.00505,-0.2001,0.097154,0.096581,-0.0059
Bai/rdb200l/rdb200l.mtx,ok,Bai,1120,180,0.19444,4.024,0.004756,0.005369,0.1142,0.079196,0.091863,0.1379
Bai/rdb2048/rdb2048.mtx,ok,Bai,12032,1952,0.19262,3.28,0.005527,0.005647,0.0213,0.092696,0.093011,0.0034
Bai/rw496/rw496.mtx,ok,Bai,1859,551,0.10543,5.907,0.002077,0.002389,0.1308,0.040122,0.043022,0.0674
Bai/rw5151/rw5151.mtx,ok,Bai,20199,6039,0.10452,7.644,0.001913,0.002318,0.1749,0.027893,0.041956,0.3352
Bai/tols1090/tols1090.mtx,ok,Bai,3546,664,0.16689,37.876,0.001367,0.001214,-0.1265,0.012711,0.013688,0.0714
Bai/tols2000/tols2000.mtx,ok,Bai,5184,965,0.16788,39.586,0.001496,0.000966,-0.5485,0.010918,0.014123,0.227
Bai/pde2961/pde2961.mtx,ok,Bai,14585,3655,0.1247,21.616,0.002931,0.003386,0.1343,0.044184,0.062817,0.2966
Bai/pde900/pde900.mtx,ok,Bai,4380,1088,0.1258,13.199,0.002722,0.003202,0.1499,0.044973,0.057345,0.2158
Bai/qh1484/qh1484.mtx,ok,Bai,6110,1587,0.12031,70.609,0.000249,0.00021,-0.1827,0.002478,5.3e-05,-45.7559
Bai/qh768/qh768.mtx,ok,Bai,2934,779,0.1177,48.681,0.00023,0.000164,-0.402,0.007959,0.001292,-5.1622
Bai/odepa400/odepa400.mtx,ok,Bai,1201,199,0.1886,8.644,0.003454,0.003613,0.044,0.062547,0.065904,0.0509
Bai/odepb400/odepb400.mtx,ok,Bai,399,100,0.12469,1.0,0.001697,0.001728,0.0175,0.004155,0.031238,0.867
Bai/olm100/olm100.mtx,ok,Bai,396,49,0.25255,9.89,0.004539,0.004161,-0.0911,0.109168,0.103135,-0.0585
Bai/olm1000/olm1000.mtx,ok,Bai,3996,498,0.25075,16.482,0.003411,0.003298,-0.0343,0.103706,0.100807,-0.0288
Arenas/PGPgiantcompo/PGPgiantcompo.mtx,ok,Arenas,48632,43716,0.03476,1.0,0.0,2e-06,0.9167,3e-06,3.9e-05,0.925
Arenas/celegans_metabolic/celegans_metabolic.mtx,ok,Arenas,4065,1786,0.07113,6.833,0.002096,0.002601,0.1943,0.037919,0.045241,0.1618
Arenas/email/email.mtx,pattern,Arenas,10902,6043,0.05638,0.0,,,,,,
Arenas/jazz/jazz.mtx,pattern,Arenas,5484,1158,0.14799,0.0,,,,,,
